LuasType,Year,Month,UNIT,VALUE
Redline,2018,January,Number,1664495
Redline,2018,February,Number,1657562
Redline,2018,March,Number,1661098
Redline,2018,April,Number,1794424
Redline,2018,May,Number,1934553
Redline,2018,June,Number,1822500
Redline,2018,July,Number,1841184
Redline,2018,August,Number,1730239
Redline,2018,September,Number,1810919
Redline,2018,October,Number,2018390
Redline,2018,November,Number,2047747
Redline,2018,December,Number,1854156
Redline,2019,January,Number,1747263
Redline,2019,February,Number,1846358
Redline,2019,March,Number,2052087
Redline,2019,April,Number,1916485
Redline,2019,May,Number,1992879
Redline,2019,June,Number,1918687
Redline,2019,July,Number,2099060
Redline,2019,August,Number,1932572
Redline,2019,September,Number,2049264
Redline,2019,October,Number,2231185
Redline,2019,November,Number,2225847
Redline,2019,December,Number,2034057
Redline,2020,January,Number,1858367
Redline,2020,February,Number,1867159
Redline,2020,March,Number,1011517
Redline,2020,April,Number,139275
Redline,2020,May,Number,216344
Redline,2020,June,Number,411810
Redline,2020,July,Number,673121
Redline,2020,August,Number,770756
Redline,2020,September,Number,771302
Redline,2020,October,Number,669016
Redline,2020,November,Number,534799
Redline,2020,December,Number,803723
Redline,2021,January,Number,352365
Redline,2021,February,Number,355048
Redline,2021,March,Number,452062
Redline,2021,April,Number,493663
Redline,2021,May,Number,709791
Redline,2021,June,Number,911520
Redline,2021,July,Number,981765
Redline,2021,August,Number,988157
Redline,2021,September,Number,1089179
Redline,2021,October,Number,1242676
Redline,2021,November,Number,1321130
Redline,2021,December,Number,1142937
Redline,2022,January,Number,969269
Redline,2022,February,Number,1175851
Redline,2022,March,Number,1412504
Redline,2022,April,Number,1462424
Redline,2022,May,Number,1604768
Redline,2022,June,Number,1720853
Redline,2022,July,Number,1712030
Redline,2022,August,Number,1744936
Redline,2022,September,Number,1981078
Redline,2022,October,Number,2155385
Redline,2022,November,Number,2277974
Redline,2022,December,Number,2058002
Redline,2023,January,Number,1889223
Redline,2023,February,Number,1916822
Redline,2023,March,Number,2226532
Redline,2023,April,Number,2061472
Redline,2023,May,Number,2182491
Redline,2023,June,Number,2147700
Redline,2023,July,Number,2100234
Redline,2023,August,Number,2068553
Redline,2023,September,Number,2080446
Redline,2023,October,Number,2392172
Redline,2023,November,Number,2260074
Redline,2023,December,Number,2067445
Greenline,2018,January,Number,1554153
Greenline,2018,February,Number,1460727
Greenline,2018,March,Number,1436472
Greenline,2018,April,Number,1555631
Greenline,2018,May,Number,1687785
Greenline,2018,June,Number,1556250
Greenline,2018,July,Number,1649329
Greenline,2018,August,Number,1633035
Greenline,2018,September,Number,1676454
Greenline,2018,October,Number,1901587
Greenline,2018,November,Number,1969820
Greenline,2018,December,Number,1918456
Greenline,2019,January,Number,1911221
Greenline,2019,February,Number,1881251
Greenline,2019,March,Number,2017037
Greenline,2019,April,Number,1910278
Greenline,2019,May,Number,2010593
Greenline,2019,June,Number,1832037
Greenline,2019,July,Number,2031550
Greenline,2019,August,Number,1848823
Greenline,2019,September,Number,2117538
Greenline,2019,October,Number,2271134
Greenline,2019,November,Number,2270870
Greenline,2019,December,Number,2199155
Greenline,2020,January,Number,1940809
Greenline,2020,February,Number,1903333
Greenline,2020,March,Number,939226
Greenline,2020,April,Number,89358
Greenline,2020,May,Number,152570
Greenline,2020,June,Number,350566
Greenline,2020,July,Number,620358
Greenline,2020,August,Number,698594
Greenline,2020,September,Number,763488
Greenline,2020,October,Number,656545
Greenline,2020,November,Number,489420
Greenline,2020,December,Number,844601
Greenline,2021,January,Number,276338
Greenline,2021,February,Number,288432
Greenline,2021,March,Number,384872
Greenline,2021,April,Number,446763
Greenline,2021,May,Number,656776
Greenline,2021,June,Number,800627
Greenline,2021,July,Number,839771
Greenline,2021,August,Number,895343
Greenline,2021,September,Number,1133233
Greenline,2021,October,Number,1282900
Greenline,2021,November,Number,1325204
Greenline,2021,December,Number,1110766
Greenline,2022,January,Number,841008
Greenline,2022,February,Number,1056223
Greenline,2022,March,Number,1265085
Greenline,2022,April,Number,1256819
Greenline,2022,May,Number,1447252
Greenline,2022,June,Number,1464477
Greenline,2022,July,Number,1550461
Greenline,2022,August,Number,1547295
Greenline,2022,September,Number,1830015
Greenline,2022,October,Number,2063739
Greenline,2022,November,Number,2097731
Greenline,2022,December,Number,1972696
Greenline,2023,January,Number,1754387
Greenline,2023,February,Number,1808850
Greenline,2023,March,Number,1968643
Greenline,2023,April,Number,1716148
Greenline,2023,May,Number,1930679
Greenline,2023,June,Number,1819613
Greenline,2023,July,Number,1769476
Greenline,2023,August,Number,1676161
Greenline,2023,September,Number,1985541
Greenline,2023,October,Number,2227528
Greenline,2023,November,Number,2121529
Greenline,2023,December,Number,2033498
